smiles,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16
CCCl.[OH-]>COC>CCO.[Cl-].C=C.O.[Cl-],0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCBr.[OH-]>COC>CCO.[Br-].C=C.O.[Br-],0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCI.[OH-]>COC>CCO.[I-].C=C.O.[I-],0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)Cl.CC(C)(C)[O-]>COC>C=CC.CC(C)(C)O.[Cl-],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCl.[OH-]>COC>CCCO.[Cl-].C=CC.O.[Cl-],0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCBr.[OH-]>COC>CCCO.[Br-].C=CC.O.[Br-],0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)Br.CC(C)(C)[O-]>COC>C=CC.CC(C)(C)O.[Br-],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)I.CC(C)(C)[O-]>COC>C=CC.CC(C)(C)O.[I-],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCI.[OH-]>COC>CCCO.[I-].C=CC.O.[I-],0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CCl.[OH-]>COC>CC(C)CO.[Cl-].C=C(C)C.O.[Cl-],0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)(C)Cl.CC(C)(C)[O-]>COC>C=C(C)C.CC(C)(C)O.[Cl-],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)(C)Cl.[OH-]>COC>C=C(C)C.O.[Cl-],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(C)Cl.CC(C)(C)[O-]>COC>CC=CC.CC(C)(C)O.[Cl-],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
