smiles,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16
CC(Cl)C(C)(C)C.O>COC>CC(C)C(C)(C)O.Cl.CC(C)=C(C)C.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(Br)C(C)(C)C.O>COC>CC(C)C(C)(C)O.Br.CC(C)=C(C)C.[OH3+].[Br-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(I)C(C)(C)C.O>COC>CC(C)C(C)(C)O.I.CC(C)=C(C)C.[OH3+].[I-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(Cl)C(C)(C)C.O>COC>CCC(C)C(C)(C)O.Cl.CCC(C)=C(C)C.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(C)(C)C(C)Cl.O>COC>CCC(C)C(C)(C)O.Cl.CCC(C)=C(C)C.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(C)(C)C(C)Br.O>COC>CCC(C)C(C)(C)O.Br.CCC(C)=C(C)C.[OH3+].[Br-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(Br)C(C)(C)C.O>COC>CCC(C)C(C)(C)O.Br.CCC(C)=C(C)C.[OH3+].[Br-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(I)C(C)(C)C.O>COC>CCC(C)C(C)(C)O.I.CCC(C)=C(C)C.[OH3+].[I-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(C)(C)C(C)I.O>COC>CCC(C)C(C)(C)O.I.CCC(C)=C(C)C.[OH3+].[I-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(C)(CC)C(C)Cl.O>COC>CCC(C)C(C)(O)CC.Cl.CCC(C)=C(C)CC.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC(Cl)C(C)(C)C.O>COC>CCCC(C)C(C)(C)O.Cl.CCCC(C)=C(C)C.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)C(Cl)C(C)(C)C.O>COC>CC(C)C(C)C(C)(C)O.Cl.CC(C)=C(C)C(C)C.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(Cl)C(C)(C)CC.O>COC>CCC(C)C(C)(O)CC.Cl.CCC(C)=C(C)CC.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)C(C)(C)C(C)Cl.O>COC>CC(C)C(C)C(C)(C)O.Cl.CC(C)=C(C)C(C)C.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC(C)(C)C(C)Cl.O>COC>CCCC(C)C(C)(C)O.Cl.CCCC(C)=C(C)C.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(C)(CC)C(C)Br.O>COC>CCC(C)C(C)(O)CC.Br.CCC(C)=C(C)CC.[OH3+].[Br-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)C(C)(C)C(C)Br.O>COC>CC(C)C(C)C(C)(C)O.Br.CC(C)=C(C)C(C)C.[OH3+].[Br-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC(Br)C(C)(C)C.O>COC>CCCC(C)C(C)(C)O.Br.CCCC(C)=C(C)C.[OH3+].[Br-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC(C)(C)C(C)Br.O>COC>CCCC(C)C(C)(C)O.Br.CCCC(C)=C(C)C.[OH3+].[Br-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)C(Br)C(C)(C)C.O>COC>CC(C)C(C)C(C)(C)O.Br.CC(C)=C(C)C(C)C.[OH3+].[Br-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(Br)C(C)(C)CC.O>COC>CCC(C)C(C)(O)CC.Br.CCC(C)=C(C)CC.[OH3+].[Br-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)C(C)(C)C(C)I.O>COC>CC(C)C(C)C(C)(C)O.I.CC(C)=C(C)C(C)C.[OH3+].[I-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(C)(CC)C(C)I.O>COC>CCC(C)C(C)(O)CC.I.CCC(C)=C(C)CC.[OH3+].[I-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC(C)(C)C(C)I.O>COC>CCCC(C)C(C)(C)O.I.CCCC(C)=C(C)C.[OH3+].[I-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC(I)C(C)(C)C.O>COC>CCCC(C)C(C)(C)O.I.CCCC(C)=C(C)C.[OH3+].[I-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(I)C(C)(C)CC.O>COC>CCC(C)C(C)(O)CC.I.CCC(C)=C(C)CC.[OH3+].[I-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)C(I)C(C)(C)C.O>COC>CC(C)C(C)C(C)(C)O.I.CC(C)=C(C)C(C)C.[OH3+].[I-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CC(C)(C)C(C)Cl.O>COC>CC(C)CC(C)C(C)(C)O.Cl.CC(C)=C(C)CC(C)C.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(Cl)C(C)(C)C(C)(C)C.O>COC>CC(C)C(C)(O)C(C)(C)C.Cl.CC(C)=C(C)C(C)(C)C.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)CC(Cl)C(C)(C)C.O>COC>CC(C)CC(C)C(C)(C)O.Cl.CC(C)=C(C)CC(C)C.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCC(Cl)C(C)(C)C.O>COC>CCCCC(C)C(C)(C)O.Cl.CCCCC(C)=C(C)C.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCC(C)(C)C(C)Cl.O>COC>CCCCC(C)C(C)(C)O.Cl.CCCCC(C)=C(C)C.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC(C)(C)C(Cl)C(C)C.O>COC>CCC(C(C)C)C(C)(C)O.Cl.CCC(=C(C)C)C(C)C.[OH3+].[Cl-],0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
