smiles,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16
C=C.O>OS(O)(=O)=O.COC>CCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC.O>OS(O)(=O)=O.COC>CC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC=CC.O>OS(O)(=O)=O.COC>CCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC=CC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)C.O>OS(O)(=O)=O.COC>CC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)C.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCC.O>OS(O)(=O)=O.COC>CCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC(C)C.O>OS(O)(=O)=O.COC>CC(C)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC(C)C.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CC(C)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCCC.O>OS(O)(=O)=O.COC>CCCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCCC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC=CCC.O>OS(O)(=O)=O.COC>CCCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC=CCC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC=C(C)C.O>OS(O)(=O)=O.COC>CCC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC=C(C)C.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)CC.O>OS(O)(=O)=O.COC>CCC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)CC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC=C(C)C.O>OS(O)(=O)=O.COC>CCCC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC=C(C)C.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCCC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)=C(C)C.O>OS(O)(=O)=O.COC>CC(C)C(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)=C(C)C.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CC(C)C(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC(C)CC.O>OS(O)(=O)=O.COC>CCC(C)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC(C)CC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCC(C)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCC(C)C.O>OS(O)(=O)=O.COC>CC(C)CC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCC(C)C.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CC(C)CC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC=CCC.O>OS(O)(=O)=O.COC>CCCC(O)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC=CCC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCCC(O)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC(C)(C)C.O>OS(O)(=O)=O.COC>CC(O)C(C)(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC(C)(C)C.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CC(O)C(C)(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC=CC(C)C.O>OS(O)(=O)=O.COC>CC(C)CC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC=CC(C)C.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CC(C)CC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)C(C)C.O>OS(O)(=O)=O.COC>CC(C)C(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)C(C)C.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CC(C)C(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)CCC.O>OS(O)(=O)=O.COC>CCCC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(C)CCC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCCC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC=CCCC.O>OS(O)(=O)=O.COC>CCCCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC=CCCC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCCCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCCCC.O>OS(O)(=O)=O.COC>CCCCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CCCCC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCCCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC=C(C)CC.O>OS(O)(=O)=O.COC>CCC(C)(O)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC=C(C)CC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCC(C)(O)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(CC)CC.O>OS(O)(=O)=O.COC>CCC(C)(O)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(CC)CC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCC(C)(O)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC=C(C)C.O>OS(O)(=O)=O.COC>CCCCC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCC=C(C)C.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCCCC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC(C)C(C)C.O>OS(O)(=O)=O.COC>CC(C)C(C)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC(C)C(C)C.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CC(C)C(C)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC(C)(C)CC.O>OS(O)(=O)=O.COC>CCC(C)(C)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC(C)(C)CC.O>CC(=O)O[Hg]OC(C)=O.O.[Na+].[H][B-]([H])([H])[H].COC>CCC(C)(C)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
