smiles,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_7,prob_8,prob_9,prob_10,prob_11,prob_12,prob_13,prob_14,prob_15,prob_16
C=C.C=C>OS(O)(=O)=O.O.COC>CCCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CC.C=CC>OS(O)(=O)=O.O.COC>CC(C)CC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CC=CC.CC=CC>OS(O)(=O)=O.O.COC>CCC(C)C(C)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=C(C)C.C=C(C)C>OS(O)(=O)=O.O.COC>CC(C)(C)CC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CCC.C=CCC>OS(O)(=O)=O.O.COC>CCC(C)CC(O)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CC(C)C.C=CC(C)C>OS(O)(=O)=O.O.COC>CC(C)C(C)CC(O)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CCCC.C=CCCC>OS(O)(=O)=O.O.COC>CCCC(C)CC(O)CCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CC=CCC.CC=CCC>OS(O)(=O)=O.O.COC>CCCC(C)C(CC)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CC=C(C)C.CC=C(C)C>OS(O)(=O)=O.O.COC>CCC(C)(C)C(C)C(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=C(C)CC.C=C(C)CC>OS(O)(=O)=O.O.COC>CCC(C)(C)CC(C)(O)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CCC=C(C)C.CCC=C(C)C>OS(O)(=O)=O.O.COC>CCCC(C)(C)C(CC)C(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CC(C)=C(C)C.CC(C)=C(C)C>OS(O)(=O)=O.O.COC>CC(C)C(C)(C)C(C)(C)C(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CC(C)CC.C=CC(C)CC>OS(O)(=O)=O.O.COC>CCC(C)C(C)CC(O)C(C)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CCC(C)C.C=CCC(C)C>OS(O)(=O)=O.O.COC>CC(C)CC(C)CC(O)CC(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CCC=CCC.CCC=CCC>OS(O)(=O)=O.O.COC>CCCC(CC)C(CC)C(O)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CC(C)(C)C.C=CC(C)(C)C>OS(O)(=O)=O.O.COC>CC(CC(O)C(C)(C)C)C(C)(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CC=CC(C)C.CC=CC(C)C>OS(O)(=O)=O.O.COC>CC(C)CC(C)C(C(C)C)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=C(C)C(C)C.C=C(C)C(C)C>OS(O)(=O)=O.O.COC>CC(C)C(C)(C)CC(C)(O)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=C(C)CCC.C=C(C)CCC>OS(O)(=O)=O.O.COC>CCCC(C)(C)CC(C)(O)CCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CC=CCCC.CC=CCCC>OS(O)(=O)=O.O.COC>CCCCC(C)C(CCC)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CCCCC.C=CCCCC>OS(O)(=O)=O.O.COC>CCCCC(C)CC(O)CCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CC=C(C)CC.CC=C(C)CC>OS(O)(=O)=O.O.COC>CCC(C)(O)C(C)C(C)(CC)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=C(CC)CC.C=C(CC)CC>OS(O)(=O)=O.O.COC>CCC(C)(CC)CC(O)(CC)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CCCC=C(C)C.CCCC=C(C)C>OS(O)(=O)=O.O.COC>CCCCC(C)(C)C(CCC)C(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CC(C)C(C)C.C=CC(C)C(C)C>OS(O)(=O)=O.O.COC>CC(C)C(C)C(C)CC(O)C(C)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CC(C)(C)CC.C=CC(C)(C)CC>OS(O)(=O)=O.O.COC>CCC(C)(C)C(C)CC(O)C(C)(C)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CC=CCCCC.CC=CCCCC>OS(O)(=O)=O.O.COC>CCCCCC(C)C(CCCC)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CC(C)CCC.C=CC(C)CCC>OS(O)(=O)=O.O.COC>CCCC(C)C(C)CC(O)C(C)CCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=C(CC)CCC.C=C(CC)CCC>OS(O)(=O)=O.O.COC>CCCC(C)(CC)CC(O)(CC)CCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=C(C)CCCC.C=C(C)CCCC>OS(O)(=O)=O.O.COC>CCCCC(C)(C)CC(C)(O)CCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CC=CCC(C)C.CC=CCC(C)C>OS(O)(=O)=O.O.COC>CC(C)CCC(C)C(CC(C)C)C(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CC(C)=CC(C)C.CC(C)=CC(C)C>OS(O)(=O)=O.O.COC>CC(C)CC(C)(C)C(C(C)C)C(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CC=CC(C)(C)C.CC=CC(C)(C)C>OS(O)(=O)=O.O.COC>CC(O)C(C(C)CC(C)(C)C)C(C)(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CCC(C)CC.C=CCC(C)CC>OS(O)(=O)=O.O.COC>CCC(C)CC(C)CC(O)CC(C)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CCC=CCCC.CCC=CCCC>OS(O)(=O)=O.O.COC>CCCCC(CC)C(CCC)C(O)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CCC=C(C)CC.CCC=C(C)CC>OS(O)(=O)=O.O.COC>CCCC(C)(CC)C(CC)C(C)(O)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
C=CC(CC)CC.C=CC(CC)CC>OS(O)(=O)=O.O.COC>CCC(CC)C(C)CC(O)C(CC)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
